train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.034482758620689655,0.5106382978723404,0.06460296096904443,47,0.0,0.07792207792207792,0.4,0.13043478260869565,15,0.0,0.09302325581395349,0.6153846153846154,0.16161616161616163,13
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.00437636761487965,0.2,0.008565310492505354,20,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.988,0.427253507591774,0.5965383067221253,5203,4.0,0.976,0.4258289703315881,0.5929526123936817,573,4.0,0.9964028776978417,0.4328125,0.6034858387799564,640
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.001949317738791423,0.0625,0.0037807183364839316,16,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4260310253499811,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.43644716692189894,0
macro avg,0.1469726348534801,0.17148454363773064,0.09621247093145129,5286,macro avg,0.15056029684601113,0.11797556719022688,0.10334105642891105,588,macro avg,0.1556323047873993,0.14974244505494508,0.10930028577087401,653
weighted avg,0.9728156273347125,0.4260310253499811,0.587789812096859,5286,weighted avg,0.9530898489265835,0.42517006802721086,0.5811536881644729,588,weighted avg,0.9784182910447167,0.43644716692189894,0.5946890458195746,653
mood_0.0,0.04641638225255973,0.3022222222222222,0.0804733727810651,225,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.02040816326530612,0.26373626373626374,0.03788476716653511,91,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
mood_2.0,0.010752688172043012,0.08888888888888889,0.019184652278177457,45,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.9441267047954246,0.43573604060913707,0.5962767435398721,4925,mood_3.0,1.0,0.42517006802721086,0.5966587112171837,588,mood_3.0,1.0,0.4333843797856049,0.6047008547008547,653
mood_accuracy,0.0,0.0,0.4260310253499811,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.43644716692189894,0
mood_macro avg,0.25542598462133337,0.272645853864128,0.18345488394141246,5286,mood_macro avg,0.25,0.10629251700680271,0.14916467780429593,588,mood_macro avg,0.25,0.10834609494640123,0.15117521367521367,653
mood_weighted avg,0.8820674840993524,0.42413923571698825,0.5597957423333869,5286,mood_weighted avg,1.0,0.42517006802721086,0.5966587112171837,588,mood_weighted avg,1.0,0.4333843797856049,0.6047008547008547,653
0.0,0.23706896551724138,0.38823529411764707,0.2943800178412132,425,0.0,0.11688311688311688,0.375,0.17821782178217824,24,0.0,0.18604651162790697,0.48484848484848486,0.2689075630252101,33
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.005050505050505051,0.4,0.009975062344139652,5,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.053610503282275714,0.3310810810810811,0.09227871939736346,148,3.0,0.08823529411764706,0.42857142857142855,0.14634146341463417,21,3.0,0.07964601769911504,0.2727272727272727,0.1232876712328767,33
4.0,0.9288888888888889,0.4439252336448598,0.6007473411899971,4708,4.0,0.96,0.4436229205175601,0.606826801517067,541,4.0,0.935251798561151,0.44293015332197616,0.6011560693641619,587
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,2,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.43624668936814226,0,accuracy,0.0,0.0,0.4387755102040816,0,accuracy,0.0,0.0,0.43644716692189894,0
macro avg,0.17494555181984442,0.2233202298347983,0.14248302011038763,5286,macro avg,0.16644548728582342,0.17817062129842695,0.13305515524483993,588,macro avg,0.17156347541259614,0.171500844413962,0.14190732908889267,653
weighted avg,0.8478855100727858,0.43624668936814226,0.5613199235125903,5286,weighted avg,0.8911873060912677,0.4387755102040816,0.5708226157741715,588,weighted avg,0.8541510860998276,0.43644716692189894,0.5602160114047166,653
mood_0.0,0.012969283276450512,0.17757009345794392,0.024173027989821884,107,mood_0.0,0.011695906432748537,0.2,0.022099447513812154,10,mood_0.0,0.005405405405405406,0.125,0.010362694300518135,8
mood_1.0,0.02806122448979592,0.7857142857142857,0.054187192118226604,42,mood_1.0,0.056,0.875,0.10526315789473684,8,mood_1.0,0.029197080291970802,1.0,0.05673758865248227,4
mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.9916410030796304,0.4387774965933424,0.6083670715249664,5137,mood_3.0,0.996,0.4368421052631579,0.6073170731707318,570,mood_3.0,1.0,0.4414976599063963,0.6125541125541126,641
mood_accuracy,0.0,0.0,0.43624668936814226,0,mood_accuracy,0.0,0.0,0.4387755102040816,0,mood_accuracy,0.0,0.0,0.43644716692189894,0
mood_macro avg,0.2581678777114692,0.350515468941393,0.17168182290825373,5286,mood_macro avg,0.2659239766081871,0.37796052631578947,0.1836699196448202,588,mood_macro avg,0.25865062142434403,0.39162441497659906,0.16991359887677826,653
mood_weighted avg,0.964174445243892,0.43624668936814226,0.5921384832553214,5286,mood_weighted avg,0.9664710188168835,0.4387755102040816,0.5905337269483216,588,mood_weighted avg,0.9818683484906756,0.44104134762633995,0.6017718806373664,653
0.0,0.5028735632183908,0.4807692307692308,0.4915730337078652,728,0.0,0.2597402597402597,0.26666666666666666,0.26315789473684204,75,0.0,0.313953488372093,0.3375,0.3253012048192771,80
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.05808080808080808,0.4423076923076923,0.10267857142857142,52,2.0,0.022727272727272728,0.1111111111111111,0.03773584905660377,9,2.0,0.08163265306122448,0.3076923076923077,0.12903225806451613,13
3.0,0.21991247264770242,0.48201438848920863,0.3020285499624343,417,3.0,0.20588235294117646,0.25301204819277107,0.227027027027027,83,3.0,0.17699115044247787,0.3076923076923077,0.22471910112359553,65
4.0,0.8831111111111111,0.4996228312798592,0.6381885338044002,3977,4.0,0.7,0.43316831683168316,0.5351681957186545,404,4.0,0.7949640287769785,0.46331236897274636,0.5854304635761589,477
5.0,0.0575,0.38333333333333336,0.1,60,5.0,0.0,0.0,0.0,5,5.0,0.0,0.0,0.0,2
6.0,0.03898635477582846,0.38461538461538464,0.07079646017699115,52,6.0,0.05263157894736842,0.25,0.08695652173913043,12,6.0,0.03125,0.125,0.05,16
accuracy,0.0,0.0,0.492622020431328,0,accuracy,0.0,0.0,0.3741496598639456,0,accuracy,0.0,0.0,0.41960183767228176,0
macro avg,0.2514949014048344,0.3818089801135298,0.24360930701146602,5286,macro avg,0.17728306633658247,0.18770830611460457,0.16429221261117968,588,macro avg,0.19982733152182483,0.2201709977653374,0.18778328965479255,653
weighted avg,0.7526344753073239,0.492622020431328,0.5745190265715568,5286,weighted avg,0.5445661210485562,0.3741496598639456,0.43566519952588745,588,weighted avg,0.6391726953521335,0.41960183767228176,0.4936578689728061,653
mood_0.0,0.04505119453924915,0.264,0.07696793002915452,250,mood_0.0,0.03508771929824561,0.3157894736842105,0.0631578947368421,19,mood_0.0,0.021621621621621623,0.2222222222222222,0.03940886699507389,18
