train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.002188183807439825,0.25,0.0043383947939262466,8,0.00980392156862745,0.25,0.018867924528301886,4,0.02654867256637168,0.6,0.05084745762711864,5
4.0,0.9973333333333333,0.42540284360189573,0.5964119601328903,5275,0.996,0.4263698630136986,0.5971223021582734,584,0.9928057553956835,0.42592592592592593,0.5961123110151187,648
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14278878816296758,0.09648612051455653,0.08582147927525952,5286,0.14368627450980392,0.09662426614481409,0.0879986038123679,588,0.14562206113743645,0.14656084656084656,0.09242282409174819,653
weighted avg,0.9952612256533849,0.4248959515701854,0.5951774114376368,5286,0.9892911831399226,0.42517006802721086,0.59318859890909,588,0.985407155986577,0.42725880551301687,0.5919372355680437,653
0.0,0.1810344827586207,0.4214046822742475,0.25326633165829143,299,0.23376623376623376,0.391304347826087,0.2926829268292683,46,0.2441860465116279,0.3333333333333333,0.2818791946308725,63
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.037199124726477024,0.37362637362637363,0.06766169154228856,91,0.10784313725490197,0.2558139534883721,0.15172413793103448,43,0.168141592920354,0.40425531914893614,0.23750000000000004,47
4.0,0.9524444444444444,0.43770424836601307,0.5997760985166527,4896,0.876,0.43887775551102204,0.5847797062750334,499,0.8776978417266187,0.44935543278084716,0.5943970767356882,543
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1672397217042203,0.176105043466662,0.13152916024531897,5286,0.17394419586016224,0.15514229383221156,0.1470266815764766,588,0.18428935445122865,0.1695634407518738,0.1591108959095087,653
weighted avg,0.8930538083039986,0.4356791524782444,0.5710154418149279,5286,0.7695824858081761,0.4217687074829932,0.5302595680211267,588,0.7655073565927154,0.4349157733537519,0.5385581959099902,653
0.0,0.5158045977011494,0.4544303797468354,0.4831763122476446,790,0.4805194805194805,0.2868217054263566,0.3592233009708738,129,0.47674418604651164,0.2469879518072289,0.32539682539682535,166
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.005050505050505051,0.14285714285714285,0.00975609756097561,14,0.022727272727272728,0.3333333333333333,0.04255319148936171,3,0.02040816326530612,0.3333333333333333,0.03846153846153846,3
3.0,0.2286652078774617,0.5238095238095238,0.31835491241431835,399,0.28431372549019607,0.26605504587155965,0.27488151658767773,109,0.23008849557522124,0.2736842105263158,0.25,95
4.0,0.9013333333333333,0.49901574803149606,0.6423820082356667,4064,0.652,0.4808259587020649,0.5534804753820034,339,0.658273381294964,0.4753246753246753,0.5520361990950227,385
5.0,0.015,0.3333333333333333,0.028708133971291863,18,0.044444444444444446,0.3333333333333333,0.0784313725490196,6,0.0,0.0,0.0,2
6.0,0.001949317738791423,1.0,0.003891050583657587,1,0.017543859649122806,0.5,0.033898305084745756,2,0.0,0.0,0.0,2
macro avg,0.23825756595732012,0.4219208753969045,0.21232407357336497,5286,0.2145069689757881,0.31433848238094964,0.19178116600909742,588,0.19793060374028615,0.1899043101416505,0.16655636613619804,653
weighted avg,0.7873788068827334,0.4928111993946273,0.5902441545642494,5286,0.5346516076013453,0.39625850340136054,0.4499962869179089,588,0.5428704720547075,0.38437978560490044,0.4447399606169087,653
0.0,0.6623563218390804,0.5494636471990465,0.6006514657980456,839,0.2077922077922078,0.2711864406779661,0.23529411764705882,59,0.2558139534883721,0.2894736842105263,0.2716049382716049,76
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.06060606060606061,0.34285714285714286,0.10300429184549356,70,0.022727272727272728,0.09090909090909091,0.03636363636363636,11,0.02040816326530612,0.16666666666666666,0.03636363636363636,6
3.0,0.44091903719912473,0.5979228486646885,0.5075566750629724,674,0.11764705882352941,0.21052631578947367,0.1509433962264151,57,0.1592920353982301,0.43902439024390244,0.23376623376623376,41
4.0,0.8755555555555555,0.5830127256584788,0.6999467045656422,3379,0.788,0.45080091533180777,0.5735080058224163,437,0.8453237410071942,0.4662698412698413,0.6010230179028133,504
5.0,0.2675,0.36769759450171824,0.3096960926193922,291,0.13333333333333333,0.3157894736842105,0.18750000000000003,19,0.08163265306122448,0.19047619047619047,0.11428571428571428,21
6.0,0.031189083820662766,0.48484848484848486,0.0586080586080586,33,0.017543859649122806,0.2,0.03225806451612903,5,0.015625,0.2,0.028985507246376812,5
macro avg,0.3340180084314977,0.4179717776756514,0.3256376126428006,5286,0.18386339033220947,0.2198874623417927,0.17369531722509368,588,0.1968707923171896,0.25027296755244677,0.18371843540519706,653
weighted avg,0.7367598886352492,0.563942489595157,0.6262628874082109,5286,0.6227766585786741,0.39625850340136054,0.47148454998819517,588,0.6951467979754168,0.43032159264931086,0.5144029115933985,653
0.0,0.7600574712643678,0.6522811344019729,0.7020570670205707,811,0.2597402597402597,0.2702702702702703,0.26490066225165565,74,0.29069767441860467,0.2631578947368421,0.27624309392265195,95
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.18686868686868688,0.4157303370786517,0.25783972125435545,178,0.0,0.0,0.0,14,0.04081632653061224,0.16666666666666666,0.06557377049180327,12
3.0,0.6258205689277899,0.6916565900846433,0.6570936243538197,827,0.19607843137254902,0.21505376344086022,0.20512820512820512,93,0.22123893805309736,0.3333333333333333,0.26595744680851063,75
4.0,0.8977777777777778,0.6859083191850595,0.7776708373435997,2945,0.624,0.484472049689441,0.5454545454545455,322,0.6510791366906474,0.48525469168900803,0.5560675883256527,373
5.0,0.4475,0.47229551451187335,0.4595635430038511,379,0.13333333333333333,0.15384615384615385,0.14285714285714288,39,0.14285714285714285,0.1206896551724138,0.1308411214953271,58
6.0,0.13060428849902533,0.4589041095890411,0.20333839150227617,146,0.10526315789473684,0.13043478260869565,0.11650485436893204,46,0.015625,0.025,0.019230769230769232,40
macro avg,0.4355183990482354,0.48239657212160597,0.4367947406397818,5286,0.18834502604869696,0.17915385997934585,0.18212077286578301,588,0.1946163169357292,0.19915746308546625,0.187701970039245,653
weighted avg,0.7566873113200386,0.6509648127128264,0.6910296600477223,5286,0.4224935010231023,0.35374149659863946,0.38307242787807605,588,0.4540003485657624,0.36906584992343033,0.40237061859206746,653
0.0,0.8117816091954023,0.738562091503268,0.7734428473648186,765,0.2857142857142857,0.3188405797101449,0.3013698630136986,69,0.3023255813953488,0.2653061224489796,0.28260869565217395,98
1.0,0.008547008547008548,1.0,0.016949152542372885,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.3484848484848485,0.5328185328185329,0.42137404580152676,259,0.09090909090909091,0.11764705882352941,0.10256410256410256,34,0.14285714285714285,0.20588235294117646,0.1686746987951807,34
3.0,0.7330415754923414,0.771889400921659,0.7519640852974188,868,0.22549019607843138,0.20535714285714285,0.21495327102803738,112,0.26548672566371684,0.30303030303030304,0.28301886792452835,99
4.0,0.9173333333333333,0.7661469933184856,0.8349514563106797,2694,0.552,0.47586206896551725,0.5111111111111111,290,0.5719424460431655,0.496875,0.5317725752508361,320
5.0,0.5775,0.5238095238095238,0.549346016646849,441,0.15555555555555556,0.17073170731707318,0.1627906976744186,41,0.14285714285714285,0.1320754716981132,0.1372549019607843,53
6.0,0.30994152046783624,0.6162790697674418,0.4124513618677043,258,0.07017543859649122,0.09523809523809523,0.08080808080808081,42,0.078125,0.10204081632653061,0.08849557522123894,49
macro avg,0.5295185565029672,0.7070722303055589,0.5372112808330528,5286,0.19712065240769353,0.19766809327307186,0.19622816088563558,588,0.21479914840235953,0.21503000949215753,0.21311790211496318,653
weighted avg,0.7857543612577863,0.7241770715096482,0.7475548050116313,5286,0.369838848579608,0.336734693877551,0.35144055546101644,588,0.3907953629093974,0.35834609494640124,0.3724769937634109,653
0.0,0.8649425287356322,0.806970509383378,0.8349514563106796,746,0.24675324675324675,0.3392857142857143,0.28571428571428575,56,0.22093023255813954,0.2638888888888889,0.24050632911392406,72
1.0,0.02564102564102564,0.75,0.049586776859504134,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.49747474747474746,0.6042944785276073,0.5457063711911357,326,0.11363636363636363,0.13157894736842105,0.12195121951219512,38,0.16326530612244897,0.16326530612244897,0.16326530612244897,49
