train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.034482758620689655,0.3116883116883117,0.06209573091849935,77,0.0,0.012987012987012988,0.3333333333333333,0.025,3,0.0,0.011627906976744186,0.3333333333333333,0.02247191011235955,3
1.0,0.0,0.0,0.0,15,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.012035010940919038,0.3793103448275862,0.02332979851537646,29,3.0,0.0,0.0,0.0,1,3.0,0.02654867256637168,0.6,0.05084745762711864,5
4.0,0.9813333333333333,0.4283220174587779,0.5963538149898717,5155,4.0,0.992,0.4246575342465753,0.5947242206235013,584,4.0,0.9892086330935251,0.4263565891472868,0.5958829902491873,645
5.0,0.0,0.0,0.0,10,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42432841468028754,0,accuracy,0.0,0.0,0.42346938775510207,0,accuracy,0.0,0.0,0.42725880551301687,0
macro avg,0.14683587184213456,0.15990295342495367,0.09739704920339251,5286,macro avg,0.14356957328385897,0.10828440965427266,0.08853203151764304,588,macro avg,0.1467693160909487,0.19424141749723148,0.09560033685552365,653
weighted avg,0.9575818238865706,0.42432841468028754,0.5826072364189291,5286,weighted avg,0.985317960950614,0.42346938775510207,0.5908060286464707,588,weighted avg,0.9773463942252463,0.42725880551301687,0.589075316583765,653
mood_0.0,0.15259959486833222,0.29736842105263156,0.20169567157518964,760,mood_0.0,0.018867924528301886,0.12,0.03260869565217391,25,mood_0.0,0.0,0.0,0.0,23
mood_1.0,0.2699228791773779,0.1125,0.15881018401814975,2800,mood_1.0,0.30656934306569344,0.0997624703087886,0.15053763440860216,421,mood_1.0,0.2462686567164179,0.06932773109243698,0.1081967213114754,476
mood_2.0,0.09895833333333333,0.06701940035273368,0.07991587802313355,567,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.14463176574977818,0.2812769628990509,0.19103428069147377,1159,mood_3.0,0.11067193675889328,0.19718309859154928,0.14177215189873416,142,mood_3.0,0.09364548494983277,0.18181818181818182,0.12362030905077262,154
mood_accuracy,0.0,0.0,0.42432841468028754,0,mood_accuracy,0.0,0.0,0.42346938775510207,0,mood_accuracy,0.0,0.0,0.42725880551301687,0
mood_macro avg,0.16652814328220542,0.18954119607610403,0.15786400357698666,5286,mood_macro avg,0.10902730108822214,0.10423639222508446,0.08122962048987756,588,mood_macro avg,0.08497853541656267,0.06278647822765471,0.057954257590562004,653
mood_weighted avg,0.20724505208107902,0.1712069617858494,0.16357893677799817,5286,mood_weighted avg,0.24702858259120294,0.12414965986394558,0.14340681470569064,588,mood_weighted avg,0.2016007431535822,0.09341500765696784,0.10802322655142614,653
0.0,0.26580459770114945,0.39361702127659576,0.31732418524871353,470,0.0,0.33766233766233766,0.3291139240506329,0.3333333333333333,79,0.0,0.3488372093023256,0.38961038961038963,0.36809815950920244,77
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.09846827133479212,0.40358744394618834,0.15831134564643798,223,3.0,0.00980392156862745,0.07692307692307693,0.017391304347826087,13,3.0,0.07079646017699115,0.5,0.12403100775193798,16
4.0,0.9142222222222223,0.44814814814814813,0.6014619883040935,4590,4.0,0.896,0.45161290322580644,0.6005361930294907,496,4.0,0.935251798561151,0.4642857142857143,0.6205250596658711,560
5.0,0.0025,0.3333333333333333,0.004962779156327543,3,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.44135452137722286,0,accuracy,0.0,0.0,0.4268707482993197,0,accuracy,0.0,0.0,0.4563552833078101,0
macro avg,0.18299929875116625,0.22552656381489508,0.15458004262222466,5286,macro avg,0.17763803703299502,0.12252141488564518,0.1358944043872357,588,macro avg,0.19355506686292398,0.19341372912801486,0.15895060384671592,653
weighted avg,0.821637170909421,0.44135452137722286,0.5571644365870808,5286,weighted avg,0.8013924756049606,0.4268707482993197,0.551743829987215,588,weighted avg,0.8449222292088139,0.4563552833078101,0.5785943151900879,653
mood_0.0,0.1411208642808913,0.2672634271099744,0.18471056120194432,782,mood_0.0,0.018867924528301886,0.15789473684210525,0.033707865168539325,19,mood_0.0,0.0,0.0,0.0,13
mood_1.0,0.2527849185946872,0.10435090201627166,0.1477215823735603,2827,mood_1.0,0.30656934306569344,0.0997624703087886,0.15053763440860216,421,mood_1.0,0.2462686567164179,0.06932773109243698,0.1081967213114754,476
mood_2.0,0.1015625,0.06782608695652174,0.08133472367049009,575,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.1220053238686779,0.24954627949183303,0.1638855780691299,1102,mood_3.0,0.11462450592885376,0.19594594594594594,0.14463840399002495,148,mood_3.0,0.09698996655518395,0.17682926829268292,0.12526997840172785,164
mood_accuracy,0.0,0.0,0.44135452137722286,0,mood_accuracy,0.0,0.0,0.4268707482993197,0,mood_accuracy,0.0,0.0,0.4563552833078101,0
mood_macro avg,0.1543684016860641,0.17224667389365023,0.14441311132878115,5286,mood_macro avg,0.11001544338071227,0.11340078827420995,0.08222097589179161,588,mood_macro avg,0.08581465581790046,0.061539249846279974,0.05836667492830081,653
mood_weighted avg,0.19255160520963316,0.15474839197881196,0.14934202523130694,5286,mood_weighted avg,0.2489602225751106,0.12585034013605442,0.1452776825080739,588,mood_weighted avg,0.20387478577651622,0.09494640122511486,0.11033065207066717,653
0.0,0.4583333333333333,0.4340136054421769,0.44584206848357794,735,0.0,0.33766233766233766,0.37142857142857144,0.35374149659863946,70,0.0,0.37209302325581395,0.41025641025641024,0.3902439024390244,78
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.005050505050505051,0.6666666666666666,0.010025062656641605,3,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,2
3.0,0.3063457330415755,0.5870020964360587,0.40258806613946796,477,3.0,0.12745098039215685,0.22413793103448276,0.1625,58,3.0,0.21238938053097345,0.39344262295081966,0.27586206896551724,61
4.0,0.8711111111111111,0.49295774647887325,0.6296177320912303,3976,4.0,0.792,0.45517241379310347,0.5781021897810219,435,4.0,0.8165467625899281,0.47789473684210526,0.602921646746348,475
5.0,0.055,0.3235294117647059,0.09401709401709402,68,5.0,0.1111111111111111,0.25,0.15384615384615383,20,5.0,0.14285714285714285,0.23333333333333334,0.17721518987341772,30
6.0,0.01949317738791423,0.37037037037037035,0.037037037037037035,27,6.0,0.0,0.0,0.0,5,6.0,0.015625,0.14285714285714285,0.028169014084507043,7
accuracy,0.0,0.0,0.49054105183503594,0,accuracy,0.0,0.0,0.41156462585034015,0,accuracy,0.0,0.0,0.445635528330781,0
macro avg,0.24504769427491985,0.41064855673697886,0.231303865775007,5286,macro avg,0.1954606327379437,0.18581984517945108,0.1783128343179736,588,macro avg,0.22278732989055117,0.23682632089140163,0.21063026030125917,653
weighted avg,0.7474122511810886,0.49054105183503594,0.573309074585664,5286,weighted avg,0.642467249526073,0.41156462585034015,0.49105149726798025,588,weighted avg,0.6649828630050122,0.445635528330781,0.5193997421078864,653
mood_0.0,0.1424713031735314,0.27873183619550856,0.18856121537086684,757,mood_0.0,0.012578616352201259,0.3333333333333333,0.024242424242424246,6,mood_0.0,0.0,0.0,0.0,3
mood_1.0,0.25535561268209084,0.10423224903812522,0.14803775459513166,2859,mood_1.0,0.30656934306569344,0.0997624703087886,0.15053763440860216,421,mood_1.0,0.2462686567164179,0.06932773109243698,0.1081967213114754,476
mood_2.0,0.11197916666666667,0.06991869918699187,0.0860860860860861,615,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.1188997338065661,0.25402843601895736,0.16198247204593533,1055,mood_3.0,0.1225296442687747,0.19254658385093168,0.1497584541062802,161,mood_3.0,0.10702341137123746,0.1839080459770115,0.13530655391120508,174
mood_accuracy,0.0,0.0,0.49054105183503594,0,mood_accuracy,0.0,0.0,0.41156462585034015,0,mood_accuracy,0.0,0.0,0.445635528330781,0
mood_macro avg,0.15717645408221376,0.17672780510989577,0.14616688202450498,5286,mood_macro avg,0.11041940092166735,0.1564105968732634,0.08113462818932665,588,mood_macro avg,0.08832301702191384,0.06330894426736211,0.06087581880567012,653
mood_weighted avg,0.19527409758350137,0.1551267499054105,0.14941642666943478,5286,mood_weighted avg,0.25317761540143346,0.12755102040816327,0.14903556078671285,588,mood_weighted avg,0.2080336204833235,0.0995405819295559,0.11492339927230011,653
0.0,0.6307471264367817,0.5081018518518519,0.5628205128205128,864,0.0,0.37662337662337664,0.3493975903614458,0.36250000000000004,83,0.0,0.3488372093023256,0.35714285714285715,0.35294117647058826,84
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
