train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.0014367816091954023,0.125,0.0028409090909090906,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0025252525252525255,0.08333333333333333,0.004901960784313726,12,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9862222222222222,0.4255849635596471,0.5945873526259379,5214,4.0,1.0,0.42517006802721086,0.5966587112171837,588,4.0,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.011695906432748537,0.125,0.0213903743315508,48,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4213015512674991,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.14312573754134553,0.10841689955614006,0.08910294240467306,5286,macro avg,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,macro avg,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.972903115296749,0.4213015512674991,0.5866982113813268,5286,weighted avg,1.0,0.42517006802721086,0.5966587112171837,588,weighted avg,1.0,0.42572741194486985,0.5972073039742213,653
mood_0.0,0.9736842105263158,0.27921826625387,0.4339849624060151,5168,mood_0.0,1.0,0.2789115646258503,0.43617021276595735,588,mood_0.0,1.0,0.2679938744257274,0.4227053140096618,653
mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
mood_2.0,0.0026246719160104987,0.030303030303030304,0.004830917874396135,33,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.015391380826737027,0.4117647058823529,0.02967359050445104,85,mood_3.0,0.0,0.0,0.0,0,mood_3.0,0.0,0.0,0.0,0
mood_accuracy,0.0,0.0,0.4213015512674991,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.24792506581726584,0.1803215006098133,0.11712236769621558,5286,mood_macro avg,0.25,0.06972789115646258,0.10904255319148934,588,mood_macro avg,0.25,0.06699846860643185,0.10567632850241546,653
mood_weighted avg,0.9522124255663075,0.2797956867196368,0.4248043816112409,5286,mood_weighted avg,1.0,0.2789115646258503,0.4361702127659574,588,mood_weighted avg,1.0,0.2679938744257274,0.4227053140096618,653
0.0,0.20977011494252873,0.3348623853211009,0.2579505300353357,436,0.0,0.35064935064935066,0.27835051546391754,0.3103448275862069,97,0.0,0.26744186046511625,0.22330097087378642,0.24338624338624337,103
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.002188183807439825,0.18181818181818182,0.004324324324324324,11,3.0,0.0784313725490196,0.4444444444444444,0.13333333333333333,18,3.0,0.04424778761061947,0.3125,0.07751937984496124,16
4.0,0.9524444444444444,0.4429516329061596,0.6046839729119639,4838,4.0,0.852,0.4503171247357294,0.5892116182572615,473,4.0,0.8633093525179856,0.449438202247191,0.5911330049261084,534
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.43340900491865303,0,accuracy,0.0,0.0,0.4217687074829932,0,accuracy,0.0,0.0,0.4104134762633997,0
macro avg,0.16634324902777328,0.13709031429220603,0.12385126103880341,5286,macro avg,0.18301153188548147,0.16758744066344164,0.1475556827395431,588,macro avg,0.16785700008481733,0.14074845330299676,0.13029123259390188,653
