train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.010057471264367816,0.3888888888888889,0.0196078431372549,18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0032822757111597373,0.15789473684210525,0.006430868167202571,19,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.992,0.42636103151862464,0.5963927855711423,5235,4.0,1.0,0.42517006802721086,0.5966587112171837,588,4.0,1.0,0.4263803680981595,0.5978494623655913,652
5.0,0.0075,0.21428571428571427,0.014492753623188404,14,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4247067726068861,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.1446913924250754,0.16963291021933327,0.09098917864268401,5286,macro avg,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,macro avg,0.14285714285714285,0.06091148115687993,0.08540706605222734,653
weighted avg,0.9824949674084884,0.4247067726068861,0.5907669804554109,5286,weighted avg,1.0,0.42517006802721086,0.5966587112171837,588,weighted avg,0.998468606431853,0.42572741194486985,0.5969339195442045,653
mood_0.0,0.0,0.0,0.0,1,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.0,0.0,0.0,1,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.9995604395604396,0.4303557910673732,0.6016668871543855,5284,mood_3.0,1.0,0.43197278911564624,0.6033254156769596,588,mood_3.0,1.0,0.4241960183767228,0.5956989247311828,653
mood_accuracy,0.0,0.0,0.4247067726068861,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.2498901098901099,0.1075889477668433,0.15041672178859639,5286,mood_macro avg,0.25,0.10799319727891156,0.1508313539192399,588,mood_macro avg,0.25,0.1060490045941807,0.1489247311827957,653
mood_weighted avg,0.9991822479450176,0.4301929625425653,0.6014392417184589,5286,mood_weighted avg,1.0,0.43197278911564624,0.6033254156769596,588,mood_weighted avg,1.0,0.4241960183767228,0.5956989247311828,653
0.0,0.2686781609195402,0.3824130879345603,0.3156118143459915,489,0.0,0.36363636363636365,0.42424242424242425,0.3916083916083916,66,0.0,0.38372093023255816,0.3402061855670103,0.36065573770491804,97
