train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.028735632183908046,0.31746031746031744,0.05270092226613965,63,0.0,0.16883116883116883,0.40625,0.23853211009174313,32,0.0,0.19767441860465115,0.4857142857142857,0.2809917355371901,35
1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.005050505050505051,0.047619047619047616,0.009132420091324202,42,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0010940919037199124,0.125,0.0021691973969631233,8,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9826666666666667,0.4274941995359629,0.5957962813257882,5172,4.0,0.96,0.4316546762589928,0.5955334987593052,556,4.0,0.9712230215827338,0.4368932038834951,0.6026785714285714,618
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.422625804010594,0,accuracy,0.0,0.0,0.4302721088435374,0,accuracy,0.0,0.0,0.43950995405819293,0
macro avg,0.14536384225782853,0.1310819378021897,0.09425697444003074,5286,macro avg,0.16126159554730982,0.11970066803699897,0.11915222983586404,588,macro avg,0.16698534859819783,0.13180106994254012,0.12623861528082306,653
weighted avg,0.9618583463441046,0.422625804010594,0.5836510481162986,5286,weighted avg,0.9169431928615602,0.4302721088435374,0.5761048517569889,588,weighted avg,0.9297617641489927,0.43950995405819293,0.5854365511281145,653
mood_0.0,0.0013651877133105802,0.15384615384615385,0.0027063599458728013,13,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
