train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.08189655172413793,0.37748344370860926,0.1345926800472255,151,0.0,0.15584415584415584,0.5217391304347826,0.24000000000000002,23,0.0,0.10465116279069768,0.375,0.16363636363636364,24
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0032822757111597373,0.125,0.006396588486140725,24,3.0,0.24509803921568626,0.3246753246753247,0.27932960893854747,77,3.0,0.19469026548672566,0.3728813559322034,0.2558139534883721,59
4.0,0.9782222222222222,0.43182264076907984,0.5991561181434599,5097,4.0,0.856,0.4385245901639344,0.5799457994579945,488,4.0,0.9028776978417267,0.44035087719298244,0.5919811320754716,570
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,13,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4277336360196746,0,accuracy,0.0,0.0,0.4268707482993197,0,accuracy,0.0,0.0,0.4318529862174579,0
macro avg,0.15191443566535998,0.133472297782527,0.1057350552395466,5286,macro avg,0.1795631707228346,0.18356272075343452,0.15703934405664885,588,macro avg,0.17174558944559284,0.16974746187502654,0.14449020702860108,653
weighted avg,0.9456004200896857,0.4277336360196746,0.5816072166076455,5286,weighted avg,0.7486138853809923,0.4268707482993197,0.5272821939179753,588,weighted avg,0.8095538152227837,0.4318529862174579,0.5458645348638675,653
mood_0.0,0.05723905723905724,0.20531400966183574,0.08952080042127436,414,mood_0.0,0.05625,0.23076923076923078,0.09045226130653265,39,mood_0.0,0.028409090909090908,0.11904761904761904,0.04587155963302752,42
