train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.017241379310344827,0.27906976744186046,0.03247631935047361,43,0.0,0.1038961038961039,0.5333333333333333,0.17391304347826086,15,0.0,0.1511627906976744,0.52,0.2342342342342342,25
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9888888888888889,0.42796691671475284,0.5973956235736341,5199,4.0,0.988,0.43106457242582896,0.600243013365735,573,4.0,0.9892086330935251,0.43789808917197454,0.6070640176600441,628
5.0,0.0025,0.14285714285714285,0.004914004914004914,7,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.011695906432748537,0.16216216216216217,0.021818181818181816,37,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4245175936435868,0,accuracy,0.0,0.0,0.4336734693877551,0,accuracy,0.0,0.0,0.44104134762633995,0
macro avg,0.14576088209028315,0.14457942702513119,0.09380058995089921,5286,macro avg,0.1559851576994434,0.13777112939416605,0.11059372240628514,588,macro avg,0.1629102033987428,0.13684258416742495,0.12018546455632548,653
weighted avg,0.9728386230006981,0.4245175936435868,0.5879867573691004,5286,weighted avg,0.9654463291810231,0.4336734693877551,0.5893672488277892,588,weighted avg,0.9571241827720913,0.44104134762633995,0.5927902893512459,653
mood_0.0,0.24932065217391305,0.35804878048780486,0.29395274329195037,1025,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.16380789022298456,0.6121794871794872,0.2584573748308525,312,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
mood_2.0,0.002680965147453083,0.014084507042253521,0.0045045045045045045,71,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.8180219780219781,0.47988653945332643,0.6049081748740452,3878,mood_3.0,1.0,0.43197278911564624,0.6033254156769596,588,mood_3.0,1.0,0.4241960183767228,0.5956989247311828,653
mood_accuracy,0.0,0.0,0.4245175936435868,0,mood_accuracy,0.0,0.0,0.4336734693877551,0,mood_accuracy,0.0,0.0,0.44104134762633995,0
mood_macro avg,0.3084578713915822,0.366049828540718,0.29045569937533816,5286,mood_macro avg,0.25,0.10799319727891156,0.1508313539192399,588,mood_macro avg,0.25,0.1060490045941807,0.1489247311827957,653
mood_weighted avg,0.6581803461071759,0.45781309118426033,0.5160979918280065,5286,mood_weighted avg,1.0,0.43197278911564624,0.6033254156769596,588,mood_weighted avg,1.0,0.4241960183767228,0.5956989247311828,653
0.0,0.21120689655172414,0.3972972972972973,0.275797373358349,370,0.0,0.19480519480519481,0.3488372093023256,0.25,43,0.0,0.3023255813953488,0.38235294117647056,0.33766233766233766,68
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0010940919037199124,0.1,0.0021645021645021645,10,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9613333333333334,0.4408887077048512,0.6045276690888766,4906,4.0,0.96,0.44036697247706424,0.6037735849056604,545,4.0,0.9460431654676259,0.4495726495726496,0.6095017381228274,585
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4371925841846387,0,accuracy,0.0,0.0,0.4336734693877551,0,accuracy,0.0,0.0,0.442572741194487,0
macro avg,0.16766204596982534,0.13402657214316407,0.12606993494453253,5286,macro avg,0.1649721706864564,0.11274345453991283,0.12196765498652291,588,macro avg,0.17833839240899638,0.11884651296416002,0.135309153683595,653
weighted avg,0.9070107502793244,0.4371925841846387,0.5803782477703864,5286,weighted avg,0.9040418764908559,0.4336734693877551,0.5779023873700423,588,weighted avg,0.8790097876469293,0.442572741194487,0.5811938066813063,653
mood_0.0,0.04755434782608696,0.22012578616352202,0.0782122905027933,318,mood_0.0,0.005952380952380952,0.16666666666666666,0.011494252873563218,6,mood_0.0,0.0,0.0,0.0,10
mood_1.0,0.026586620926243566,0.775,0.05140961857379768,40,mood_1.0,0.06504065040650407,0.8,0.12030075187969926,10,mood_1.0,0.11409395973154363,0.7391304347826086,0.19767441860465118,23
mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.9683516483516483,0.44703733766233766,0.6116895737886991,4928,mood_3.0,0.9921259842519685,0.4405594405594406,0.6101694915254238,572,mood_3.0,0.9855595667870036,0.4403225806451613,0.6086956521739131,620
mood_accuracy,0.0,0.0,0.4371925841846387,0,mood_accuracy,0.0,0.0,0.4336734693877551,0,mood_accuracy,0.0,0.0,0.442572741194487,0
mood_macro avg,0.2606231542759947,0.3605407809564649,0.18532787071632253,5286,mood_macro avg,0.26577975390271336,0.3518065268065268,0.18549112406967155,588,mood_macro avg,0.2749133816296368,0.29486325385694245,0.20159251769464107,653
mood_weighted avg,0.9058310008555938,0.4358683314415437,0.5753564344974554,5286,mood_weighted avg,0.9662962309216078,0.44387755102040816,0.595729459504389,588,mood_weighted avg,0.9397719639843303,0.444104134762634,0.5848971148173554,653
0.0,0.47126436781609193,0.46262341325811,0.46690391459074737,709,0.0,0.4155844155844156,0.22377622377622378,0.29090909090909095,143,0.0,0.5116279069767442,0.25,0.33587786259541985,176
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0025252525252525255,0.5,0.0050251256281407045,2,2.0,0.022727272727272728,0.5,0.04347826086956522,2,2.0,0.0,0.0,0.0,1
3.0,0.08096280087527352,0.31896551724137934,0.12914485165794065,232,3.0,0.0196078431372549,0.6666666666666666,0.03809523809523809,3,3.0,0.017699115044247787,1.0,0.034782608695652174,2
4.0,0.9008888888888889,0.46986555401019936,0.617611212675198,4314,4.0,0.784,0.4537037037037037,0.5747800586510264,432,4.0,0.7661870503597122,0.46304347826086956,0.5772357723577235,460
5.0,0.0275,0.3793103448275862,0.05128205128205128,29,5.0,0.0,0.0,0.0,8,5.0,0.04081632653061224,0.14285714285714285,0.06349206349206349,14
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4617858494135452,0,accuracy,0.0,0.0,0.39285714285714285,0,accuracy,0.0,0.0,0.3996937212863706,0
macro avg,0.21187733001507242,0.3043949756196107,0.18142387940486832,5286,macro avg,0.17741707592127762,0.26344951344951345,0.1353232355035601,588,macro avg,0.19090434270161666,0.26512866015971603,0.1444840438772656,653
weighted avg,0.8021466181907659,0.4617858494135452,0.5726198415150817,5286,weighted avg,0.6772463426929214,0.39285714285714285,0.4933779380497759,588,weighted avg,0.6785595430243364,0.3996937212863706,0.498623909965738,653
mood_0.0,0.09171195652173914,0.33251231527093594,0.14376996805111822,406,mood_0.0,0.05357142857142857,0.34615384615384615,0.09278350515463918,26,mood_0.0,0.08287292817679558,0.30612244897959184,0.13043478260869565,49
mood_1.0,0.29416809605488853,0.7848970251716247,0.42794759825327516,437,mood_1.0,0.34959349593495936,0.48314606741573035,0.40566037735849053,89,mood_1.0,0.3959731543624161,0.5267857142857143,0.4521072796934866,112
mood_2.0,0.005361930294906166,0.2857142857142857,0.010526315789473684,7,mood_2.0,0.0,0.0,0.0,5,mood_2.0,0.06521739130434782,0.375,0.11111111111111109,8
mood_3.0,0.9437362637362637,0.4839945897204689,0.6398450305468634,4436,mood_3.0,0.8700787401574803,0.4722222222222222,0.6121883656509696,468,mood_3.0,0.8664259927797834,0.49586776859504134,0.6307490144546649,484
mood_accuracy,0.0,0.0,0.4617858494135452,0,mood_accuracy,0.0,0.0,0.39285714285714285,0,mood_accuracy,0.0,0.0,0.3996937212863706,0
