train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.0028735632183908046,0.4,0.005706134094151212,5,0.11688311688311688,0.42857142857142855,0.1836734693877551,21,0.10465116279069768,0.6,0.17821782178217824,15
1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0025252525252525255,0.05555555555555555,0.004830917874396136,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9951111111111111,0.42582731076454927,0.5964304741608951,5258,0.98,0.43209876543209874,0.5997552019583844,567,0.9928057553956835,0.43260188087774293,0.6026200873362445,638
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1429299895506792,0.12591183804572928,0.08670964658992035,5286,0.15669758812615955,0.12295288485764676,0.11191838162087707,588,0.1567795597409116,0.1475145544111061,0.11154827273120325,653
weighted avg,0.9898513137691578,0.42413923571698825,0.5932930231422997,5286,0.9491743970315399,0.43197278911564624,0.5848951400808619,588,0.9724040419361508,0.43644716692189894,0.5928711838395967,653
0.0,0.27873563218390807,0.3619402985074627,0.31493506493506496,536,0.2857142857142857,0.3055555555555556,0.2953020134228188,72,0.2441860465116279,0.2876712328767123,0.2641509433962264,73
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9524444444444444,0.4511578947368421,0.6122857142857143,4750,0.92,0.44573643410852715,0.6005221932114883,516,0.9280575539568345,0.44482758620689655,0.6013986013986015,580
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.17588286808976464,0.1161568847491864,0.1324601113172542,5286,0.17224489795918368,0.10732742709486896,0.12797488666204387,588,0.16746337149549465,0.10464268844051554,0.12364993497068968,653
weighted avg,0.88413042186184,0.44211123723041995,0.5821343809425535,5286,0.842332361516035,0.42857142857142855,0.5631482936455288,588,0.8516063747171714,0.42725880551301687,0.5636971021119653,653
0.0,0.6278735632183908,0.41658722592945663,0.5008595988538682,1049,0.5714285714285714,0.2391304347826087,0.3371647509578545,184,0.5697674418604651,0.23671497584541062,0.3344709897610921,207
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0
3.0,0.009846827133479213,0.3103448275862069,0.01908801696712619,29,0.049019607843137254,0.625,0.0909090909090909,8,0.035398230088495575,0.23529411764705882,0.06153846153846154,17
4.0,0.9528888888888889,0.5096268124554314,0.6640854886170049,4207,0.748,0.47341772151898737,0.57984496124031,395,0.7446043165467626,0.4825174825174825,0.5855728429985856,429
5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
