train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.011494252873563218,0.2,0.021739130434782608,40,0.0,0.012987012987012988,1.0,0.025641025641025647,1,0.0,0.011627906976744186,0.3333333333333333,0.02247191011235955,3
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0025252525252525255,0.16666666666666666,0.0049751243781094535,6,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.016411378555798686,0.10135135135135136,0.028248587570621465,148,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.952,0.42256855395541526,0.5853258641890968,5069,4.0,1.0,0.42589437819420783,0.5973715651135005,587,4.0,0.9928057553956835,0.4246153846153846,0.5948275862068966,650
5.0,0.0,0.0,0.0,13,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.003898635477582846,0.2,0.0076481835564053535,10,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4101399924328415,0,accuracy,0.0,0.0,0.4268707482993197,0,accuracy,0.0,0.0,0.4241960183767228,0
macro avg,0.14090421706174247,0.15579808171049048,0.09256241287557368,5286,macro avg,0.14471243042671614,0.20369919688488686,0.08900179867921802,588,macro avg,0.1434905231960611,0.10827838827838827,0.08818564233132231,653
weighted avg,0.913475367387652,0.4101399924328415,0.5622727004037472,5286,weighted avg,0.9983214064846717,0.4268707482993197,0.5963992342640576,588,weighted avg,0.9882980470568522,0.4241960183767228,0.5921980808037057,653
mood_0.0,0.027210884353741496,0.3007518796992481,0.04990642545227698,133,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.0,0.0,0.0,3,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
