train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0010940919037199124,0.14285714285714285,0.0021715526601520083,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9955555555555555,0.426179604261796,0.5968558486544098,5256,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0025,0.045454545454545456,0.004739336492890995,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14273566392275364,0.0877844703676406,0.08625239111535041,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9899172642155365,0.42413923571698825,0.5934910720391681,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.022988505747126436,0.3018867924528302,0.042723631508678236,53,0.012987012987012988,1.0,0.025641025641025647,1,0.046511627906976744,0.6666666666666666,0.08695652173913045,6
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9955555555555555,0.4280527422128798,0.598690364826941,5233,1.0,0.42589437819420783,0.5973715651135005,587,0.9964028776978417,0.4281298299845441,0.598918918918919,647
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1455062944718117,0.10427707638081572,0.09163057090508846,5286,0.14471243042671614,0.20369919688488686,0.08900179867921802,588,0.14898778651497407,0.15639949952160154,0.09798220580829278,653
weighted avg,0.9858041265658003,0.4267877412031782,0.5931159726843251,5286,0.9983214064846717,0.4268707482993197,0.5963992342640576,588,0.9876749335956286,0.43032159264931086,0.5942148233858735,653
0.0,0.3160919540229885,0.3448275862068966,0.32983508245877063,638,0.2077922077922078,0.35555555555555557,0.26229508196721313,45,0.29069767441860467,0.4166666666666667,0.3424657534246575,60
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9466666666666667,0.45836023240800516,0.6176598521096128,4647,0.948,0.43646408839779005,0.5977301387137453,543,0.9568345323741008,0.448566610455312,0.6107921928817451,593
5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.18039408866995071,0.11474111694498597,0.13535641922405478,5286,0.16511317254174399,0.1131456634219065,0.12286074581156549,588,0.1782188866846722,0.12360475387456837,0.13617970661520037,653
weighted avg,0.8703796191196873,0.4445705637533106,0.5828036540601714,5286,0.8913514444738936,0.4302721088435374,0.572059088452531,588,0.8956274703873783,0.445635528330781,0.5861373898688427,653
0.0,0.6163793103448276,0.333852140077821,0.43311458859162044,1285,0.4155844155844156,0.23703703703703705,0.3018867924528302,135,0.45348837209302323,0.24528301886792453,0.3183673469387755,159
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.006564551422319475,0.2727272727272727,0.01282051282051282,22,0.0,0.0,0.0,0,0.02654867256637168,0.75,0.05128205128205128,4
4.0,0.9222222222222223,0.5245197168857432,0.6687077022236545,3956,0.792,0.43805309734513276,0.5641025641025642,452,0.8093525179856115,0.4620123203285421,0.5882352941176471,487
5.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.005847953216374269,0.17647058823529413,0.011320754716981131,17,0.0,0.0,0.0,1,0.015625,0.3333333333333333,0.029850746268656716,3
macro avg,0.22157343388653478,0.18679567398944727,0.16085193690753843,5286,0.17251205936920222,0.0964414477688814,0.1237127652221992,588,0.1864306518064295,0.2558040960756857,0.1411050626581615,653
weighted avg,0.840068550934579,0.47540673477109346,0.6058332236945232,5286,0.7042311158229526,0.391156462585034,0.5029406053664814,588,0.7142609450414226,0.4104134762633997,0.5166702555015217,653
0.0,0.7902298850574713,0.37389530931339227,0.5076142131979696,1471,0.37662337662337664,0.25,0.3005181347150259,116,0.4186046511627907,0.3050847457627119,0.3529411764705882,118
1.0,0.008547008547008548,0.07142857142857142,0.015267175572519085,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.005050505050505051,0.4,0.009975062344139652,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0886214442013129,0.42408376963350786,0.14660633484162897,191,0.058823529411764705,0.5,0.10526315789473684,12,0.04424778761061947,0.38461538461538464,0.07936507936507936,13
4.0,0.9297777777777778,0.5926345609065156,0.7238754325259515,3530,0.772,0.4457274826789838,0.5651537335285505,433,0.8345323741007195,0.4686868686868687,0.6002587322121605,495
5.0,0.01,0.3333333333333333,0.019417475728155338,12,0.0,0.0,0.0,7,0.0,0.0,0.0,4
6.0,0.03508771929824561,0.2857142857142857,0.0625,63,0.05263157894736842,0.15,0.0779220779220779,20,0.046875,0.13043478260869565,0.06896551724137931,23
macro avg,0.26675919141890303,0.3544414043328009,0.2121793848871949,5286,0.18001121214035853,0.19224678323985483,0.14983672915148444,588,0.19203711612487567,0.18411739738195151,0.15736150075560104,653
weighted avg,0.8444846479905875,0.5198637911464246,0.6308014982716699,5286,0.6457871184017011,0.39285714285714285,0.4802606627516731,588,0.7107844108055184,0.4226646248085758,0.5228071733489229,653
0.0,0.8103448275862069,0.4361948955916473,0.5671191553544495,1293,0.4025974025974026,0.24603174603174602,0.3054187192118227,126,0.4418604651162791,0.2714285714285714,0.33628318584070793,140
1.0,0.05982905982905983,0.5384615384615384,0.1076923076923077,13,0.0,0.0,0.0,0,0.0,0.0,0.0,2
2.0,0.07323232323232323,0.3258426966292135,0.11958762886597939,89,0.022727272727272728,0.3333333333333333,0.04255319148936171,3,0.0,0.0,0.0,7
3.0,0.2636761487964989,0.5604651162790698,0.3586309523809524,430,0.17647058823529413,0.28125,0.21686746987951808,64,0.18584070796460178,0.23333333333333334,0.20689655172413796,90
4.0,0.9195555555555556,0.6728455284552846,0.7770892018779342,3075,0.596,0.4421364985163205,0.5076660988074958,337,0.5611510791366906,0.4508670520231214,0.5,346
5.0,0.1,0.35714285714285715,0.15625,112,0.022222222222222223,0.14285714285714285,0.038461538461538464,7,0.0,0.0,0.0,9
6.0,0.21442495126705652,0.40145985401459855,0.2795425667090216,274,0.08771929824561403,0.09803921568627451,0.0925925925925926,51,0.140625,0.15254237288135594,0.14634146341463414,59
macro avg,0.34872326660952874,0.4703446409391728,0.33798740184009207,5286,0.18681954057540082,0.2205211337749739,0.17193708720604706,588,0.18992532174536736,0.15831018995234028,0.16993160013992573,653
weighted avg,0.7692088215242946,0.5788876276958003,0.6400271727996792,5286,0.455052401290128,0.3486394557823129,0.38871575604936387,588,0.430384804309936,0.3430321592649311,0.37876643493772577,653
0.0,0.7988505747126436,0.5377176015473888,0.6427745664739883,1034,0.37662337662337664,0.25663716814159293,0.3052631578947369,113,0.3953488372093023,0.2786885245901639,0.3269230769230769,122
1.0,0.15384615384615385,0.6666666666666666,0.25,27,0.0,0.0,0.0,2,0.0,0.0,0.0,4
2.0,0.11616161616161616,0.38333333333333336,0.17829457364341084,120,0.022727272727272728,0.07142857142857142,0.034482758620689655,14,0.02040816326530612,0.05,0.02898550724637681,20
3.0,0.4540481400437637,0.6504702194357367,0.5347938144329897,638,0.21568627450980393,0.2716049382716049,0.24043715846994534,81,0.23008849557522124,0.22807017543859648,0.2290748898678414,114
4.0,0.9066666666666666,0.7402031930333817,0.8150219736316421,2756,0.448,0.4426877470355731,0.4453280318091451,253,0.41007194244604317,0.44881889763779526,0.42857142857142855,254
5.0,0.2775,0.41263940520446096,0.3318385650224216,269,0.022222222222222223,0.07142857142857142,0.03389830508474576,14,0.04081632653061224,0.08,0.05405405405405404,25
6.0,0.3937621832358674,0.45701357466063347,0.4230366492146596,442,0.3333333333333333,0.17117117117117117,0.2261904761904762,111,0.1875,0.10526315789473684,0.1348314606741573,114
macro avg,0.4429764763809588,0.5497205705545146,0.4536800203455874,5286,0.20265606848800125,0.18356545249672643,0.18365712686710559,588,0.18346196643235504,0.17012010793732749,0.171777202476705,653
